date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
20-05-2025,2025,Delhi,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,187,8,188,4,Rajasthan Royals,complete,0,6,Akash Madhwal,A Kripal Singh,K Kelkar,R Pandit,AT Holdstock,Amit Rana,20,"M Pathirana, A Mhatre, DP Conway, Urvil Patel, R Ashwin, RA Jadeja, D Brevis, S Dube, MS Dhoni, A Kamboj, Noor Ahmad, KK Ahmed","YBK Jaiswal, V Suryavanshi, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, PWH de Silva, KT Maphaka, Yudhvir Singh, TU Deshpande, Akash Madhwal"
21-05-2025,2025,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,180,5,121,10,Mumbai Indians,complete,59,0,SA Yadav,DS Manohar,A Bengeri,J Madanagopal,CB Gaffaney,P Joshi,20,"RD Rickelton, RG Sharma, WG Jacks, SA Yadav, Tilak Varma, HH Pandya, Naman Dhir, MJ Santner, DL Chahar, TA Boult, JJ Bumrah, KV Sharma","KL Rahul, F du Plessis, Abishek Porel, Sameer Rizvi, V Nigam, T Stubbs, Ashutosh Sharma, M Tiwari, PVD Chameera, Kuldeep Yadav, Mustafizur Rahman, Mukesh Kumar"
22-05-2025,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,235,2,202,9,Lucknow Super Giants,complete,33,0,MR Marsh,Amit Sharma,KN Ananthapadmanabhan,M Krishnadas,Nitin Menon,KM Gandhi,20,"AK Markram, MR Marsh, N Pooran, RR Pant, A Badoni, Abdul Samad, Himmat Singh, Shahbaz Ahmed, Avesh Khan, Akash Deep, W O'Rourke, Akash Singh","B Sai Sudharsan, Shubman Gill, JC Buttler, SE Rutherford, M Shahrukh Khan, R Tewatia, Arshad Khan, Rashid Khan, K Rabada, R Sai Kishore, Mohammed Siraj, M Prasidh Krishna"
23-05-2025,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,231,6,189,10,Sunrisers Hyderabad,complete,42,0,Ishan Kishan,P Dharmani,K Swaroopanand,MA Gough,UV Gandhe,Abhijit Bhattacharya,20,"Abhishek Sharma, TM Head, Ishan Kishan, H Klaasen, Aniket Verma, Nithish Kumar Reddy, A Manohar, PJ Cummins, HV Patel, JD Unadkat, E Malinga, Harsh Dubey","PD Salt, V Kohli, MA Agarwal, RM Patidar, JM Sharma, R Shepherd, KH Pandya, TH David, B Kumar, Yash Dayal, L Ngidi, Suyash Sharma"
24-05-2025,2025,Jaipur,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,Delhi Capitals,Delhi Capitals,field,206,8,208,4,Delhi Capitals,complete,0,6,Sameer Rizvi,DS Manohar,J Madanagopal,P Joshi,CB Gaffaney,Bhavesh Patel,20,"P Dubey, Priyansh Arya, P Simran Singh, JP Inglis, SS Iyer, N Wadhera, Shashank Singh, MP Stoinis, Azmatullah Omarzai, M Jansen, Harpreet Brar, Arshdeep Singh","Mukesh Kumar, KL Rahul, F du Plessis, KK Nair, Sediqullah Atal, Sameer Rizvi, T Stubbs, Ashutosh Sharma, V Nigam, Kuldeep Yadav, MM Sharma, Mustafizur Rahman"
25-05-2025,2025,Delhi,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,278,3,168,10,Sunrisers Hyderabad,complete,110,0,H Klaasen,A Kripal Singh,AT Holdstock,K Kelkar,R Pandit,Amit Rana,20,"Harsh Dubey, Abhishek Sharma, TM Head, H Klaasen, Ishan Kishan, Aniket Verma, Nithish Kumar Reddy, A Manohar, PJ Cummins, HV Patel, JD Unadkat, E Malinga","CV Varun, Q de Kock, SP Narine, AM Rahane, A Raghuvanshi, RK Singh, AD Russell, MK Pandey, Ramandeep Singh, Harshit Rana, VG Arora, A Nortje"
25-05-2025,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,230,5,147,10,Chennai Super Kings,complete,83,0,D Brevis,Amit Sharma,KM Gandhi,KN Ananthapadmanabhan,Nitin Menon,M Krishnadas,20,"M Pathirana, A Mhatre, DP Conway, Urvil Patel, S Dube, D Brevis, RA Jadeja, MS Dhoni, DJ Hooda, Noor Ahmad, A Kamboj, KK Ahmed","M Prasidh Krishna, B Sai Sudharsan, Shubman Gill, JC Buttler, SE Rutherford, M Shahrukh Khan, R Tewatia, Rashid Khan, G Coetzee, Arshad Khan, R Sai Kishore, Mohammed Siraj"
26-05-2025,2025,Jaipur,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Punjab Kings,Punjab Kings,field,184,7,187,3,Punjab Kings,complete,0,7,JP Inglis,DS Manohar,CB Gaffaney,P Joshi,J Madanagopal,Bhavesh Patel,20,"Ashwani Kumar, RD Rickelton, RG Sharma, SA Yadav, Tilak Varma, WG Jacks, HH Pandya, Naman Dhir, MJ Santner, DL Chahar, TA Boult, JJ Bumrah","Vijaykumar Vyshak, Priyansh Arya, P Simran Singh, JP Inglis, SS Iyer, N Wadhera, Shashank Singh, MP Stoinis, M Jansen, Harpreet Brar, KA Jamieson, Arshdeep Singh"
27-05-2025,2025,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,227,3,230,4,Royal Challengers Bengaluru,complete,0,6,JM Sharma,P Dharmani,MA Gough,VK Sharma,UV Gandhe,K Swaroopanand,20,"Akash Singh, MR Marsh, MP Breetzke, RR Pant, N Pooran, Abdul Samad, A Badoni, Himmat Singh, Shahbaz Ahmed, DS Rathi, Avesh Khan, W O'Rourke","Suyash Sharma, PD Salt, V Kohli, RM Patidar, LS Livingstone, MA Agarwal, JM Sharma, R Shepherd, KH Pandya, B Kumar, Yash Dayal, N Thushara"
29-05-2025,2025,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,101,10,106,2,Royal Challengers Bengaluru,complete,0,8,Suyash Sharma,V Narayan Kutty,MA Gough,VK Sharma,R Pandit,UV Gandhe,20,"Priyansh Arya, P Simran Singh, JP Inglis, SS Iyer, N Wadhera, MP Stoinis, Shashank Singh, Musheer Khan, Azmatullah Omarzai, Harpreet Brar, KA Jamieson, Arshdeep Singh","Suyash Sharma, PD Salt, V Kohli, MA Agarwal, RM Patidar, LS Livingstone, JM Sharma, R Shepherd, KH Pandya, B Kumar, Yash Dayal, JR Hazlewood"
30-05-2025,2025,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Mumbai Indians,Gujarat Titans,Mumbai Indians,bat,228,5,208,6,Mumbai Indians,complete,20,0,RG Sharma,Prakash Bhatt,R Pandit,UV Gandhe,VK Sharma,MV Saidharshan Kumar,20,"Ashwani Kumar, RG Sharma, JM Bairstow, SA Yadav, Tilak Varma, HH Pandya, Naman Dhir, MJ Santner, RA Bawa, TA Boult, JJ Bumrah, RJ Gleeson","Mohammed Siraj, B Sai Sudharsan, Shubman Gill, BKG Mendis, Washington Sundar, SE Rutherford, R Tewatia, M Shahrukh Khan, Rashid Khan, R Sai Kishore, G Coetzee, M Prasidh Krishna"
01-06-2025,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Punjab Kings,Punjab Kings,field,203,6,207,5,Punjab Kings,complete,0,5,SS Iyer,J Srinath,CB Gaffaney,Nitin Menon,KN Ananthapadmanabhan,J Madanagopal,20,"Ashwani Kumar, RG Sharma, JM Bairstow, Tilak Varma, SA Yadav, HH Pandya, Naman Dhir, RA Bawa, MJ Santner, TA Boult, JJ Bumrah, RJW Topley","YS Chahal, Priyansh Arya, P Simran Singh, JP Inglis, SS Iyer, N Wadhera, Shashank Singh, MP Stoinis, Azmatullah Omarzai, Vijaykumar Vyshak, KA Jamieson, Arshdeep Singh"
03-06-2025,2025,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,190,9,184,7,Royal Challengers Bengaluru,complete,6,0,KH Pandya,J Srinath,J Madanagopal,Nitin Menon,CB Gaffaney,KN Ananthapadmanabhan,20,"Suyash Sharma, PD Salt, V Kohli, MA Agarwal, RM Patidar, LS Livingstone, JM Sharma, R Shepherd, KH Pandya, B Kumar, Yash Dayal, JR Hazlewood","YS Chahal, Priyansh Arya, P Simran Singh, JP Inglis, SS Iyer, N Wadhera, Shashank Singh, MP Stoinis, Azmatullah Omarzai, KA Jamieson, Vijaykumar Vyshak, Arshdeep Singh"
28-03-2026,2026,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,201,9,203,4,Royal Challengers Bengaluru,complete,0,6,JA Duffy,J Srinath,J Madanagopal,UV Gandhe,R Pandit,A Bengeri,20,"TM Head, Abhishek Sharma, Ishan Kishan, Nithish Kumar Reddy, H Klaasen, S Arora, Aniket Verma, Harsh Dubey, HV Patel, DA Payne, JD Unadkat, E Malinga","JA Duffy, PD Salt, V Kohli, D Padikkal, RM Patidar, JM Sharma, TH David, R Shepherd, KH Pandya, B Kumar, Abhinandan Singh, Suyash Sharma"
29-03-2026,2026,Mumbai,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,220,4,224,4,Mumbai Indians,complete,0,6,SN Thakur,Shakti Singh,Anish Sahasrabudhe,MV Saidharshan Kumar,Nitin Menon,Vinod Seshan,20,"Kartik Tyagi, AM Rahane, FH Allen, C Green, A Raghuvanshi, RK Singh, Ramandeep Singh, AS Roy, SP Narine, CV Varun, VG Arora, B Muzarabani","JJ Bumrah, RD Rickelton, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, Naman Dhir, SE Rutherford, SN Thakur, M Markande, AM Ghazanfar, TA Boult"
30-03-2026,2026,Guwahati,"Barsapara Cricket Stadium, Guwahati",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,127,10,128,2,Rajasthan Royals,complete,0,8,N Burger,V Narayan Kutty,HDPK Dharmasena,M Krishnadas,VK Sharma,K Swaroopanand,20,"SV Samson, RD Gaikwad, A Mhatre, MW Short, SN Khan, Kartik Sharma, S Dube, J Overton, Noor Ahmad, MJ Henry, A Kamboj, KK Ahmed","YBK Jaiswal, V Suryavanshi, Dhruv Jurel, R Parag, SO Hetmyer, RA Jadeja, JC Archer, N Burger, Sandeep Sharma, Ravi Bishnoi, Brijesh Sharma"
31-03-2026,2026,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Gujarat Titans,Punjab Kings,Punjab Kings,field,162,6,165,7,Punjab Kings,complete,0,3,C Connolly,Prakash Bhatt,Abhijit Bhattacharya,A Totre,KN Ananthapadmanabhan,P Joshi,20,"M Prasidh Krishna, B Sai Sudharsan, Shubman Gill, JC Buttler, GD Phillips, Washington Sundar, M Shahrukh Khan, R Tewatia, Rashid Khan, K Rabada, Ashok Sharma, Mohammed Siraj","YS Chahal, Priyansh Arya, P Simran Singh, C Connolly, SS Iyer, N Wadhera, Shashank Singh, MP Stoinis, M Jansen, XC Bartlett, Vijaykumar Vyshak, Arshdeep Singh"
01-04-2026,2026,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,141,10,145,4,Delhi Capitals,complete,0,6,Sameer Rizvi,J Srinath,R Pandit,UV Gandhe,J Madanagopal,A Bengeri,20,"MR Marsh, RR Pant, AK Markram, A Badoni, N Pooran, Abdul Samad, MD Choudhary, Shahbaz Ahmed, Mohammed Shami, A Nortje, Mohsin Khan, Prince Yadav","T Natarajan, KL Rahul, P Nissanka, N Rana, Sameer Rizvi, AR Patel, T Stubbs, V Nigam, DA Miller, L Ngidi, Kuldeep Yadav, Mukesh Kumar"
02-04-2026,2026,Kolkata,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,226,8,161,10,Sunrisers Hyderabad,complete,65,0,Nithish Kumar Reddy,Shakti Singh,MV Saidharshan Kumar,Vinod Seshan,Nitin Menon,Anish Sahasrabudhe,20,"TM Head, Abhishek Sharma, Ishan Kishan, H Klaasen, Aniket Verma, Nithish Kumar Reddy, S Arora, Harsh Dubey, Shivang Kumar, JD Unadkat, DA Payne, E Malinga","FH Allen, AM Rahane, A Raghuvanshi, C Green, RK Singh, AS Roy, Ramandeep Singh, SP Narine, Kartik Tyagi, VG Arora, CV Varun, B Muzarabani"
03-04-2026,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Punjab Kings,field,209,5,210,5,Punjab Kings,complete,0,5,Priyansh Arya,Prakash Bhatt,Abhijit Bhattacharya,A Totre,KN Ananthapadmanabhan,P Joshi,20,"RD Chahar, SV Samson, RD Gaikwad, A Mhatre, S Dube, Kartik Sharma, SN Khan, PR Veer, Noor Ahmad, A Kamboj, MJ Henry, KK Ahmed","YS Chahal, Priyansh Arya, P Simran Singh, C Connolly, SS Iyer, N Wadhera, Shashank Singh, MP Stoinis, M Jansen, XC Bartlett, Vijaykumar Vyshak, Arshdeep Singh"
04-04-2026,2026,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,210,6,204,8,Rajasthan Royals,complete,6,0,Ravi Bishnoi,J Srinath,R Pandit,UV Gandhe,J Madanagopal,A Bengeri,20,"Ravi Bishnoi, YBK Jaiswal, V Suryavanshi, Dhruv Jurel, R Parag, SO Hetmyer, D Ferreira, RA Jadeja, JC Archer, N Burger, TU Deshpande, Sandeep Sharma","M Prasidh Krishna, B Sai Sudharsan, Kumar Kushagra, JC Buttler, GD Phillips, Washington Sundar, R Tewatia, M Shahrukh Khan, Rashid Khan, K Rabada, Ashok Sharma, Mohammed Siraj"
04-04-2026,2026,Delhi,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,162,6,164,4,Delhi Capitals,complete,0,6,Sameer Rizvi,V Narayan Kutty,HDPK Dharmasena,M Krishnadas,VK Sharma,K Swaroopanand,20,"M Markande, RD Rickelton, RG Sharma, Tilak Varma, SA Yadav, SE Rutherford, Naman Dhir, MJ Santner, C Bosch, SN Thakur, DL Chahar, JJ Bumrah","Mukesh Kumar, KL Rahul, P Nissanka, N Rana, Sameer Rizvi, DA Miller, T Stubbs, V Nigam, AR Patel, Kuldeep Yadav, L Ngidi, T Natarajan"
05-04-2026,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,field,156,9,160,5,Lucknow Super Giants,complete,0,5,Mohammed Shami,Shakti Singh,Anish Sahasrabudhe,MV Saidharshan Kumar,Nitin Menon,Vinod Seshan,20,"E Malinga, TM Head, Abhishek Sharma, Ishan Kishan, LS Livingstone, H Klaasen, Nithish Kumar Reddy, Aniket Verma, Harsh Dubey, Shivang Kumar, HV Patel, JD Unadkat","Mohammed Shami, AK Markram, MR Marsh, RR Pant, A Badoni, N Pooran, Abdul Samad, MD Choudhary, M Siddharth, Avesh Khan, DS Rathi, Prince Yadav"
05-04-2026,2026,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,250,3,207,10,Royal Challengers Bengaluru,complete,43,0,TH David,Prakash Bhatt,A Totre,KN Ananthapadmanabhan,AT Holdstock,Abhijit Bhattacharya,20,"Suyash Sharma, PD Salt, V Kohli, D Padikkal, RM Patidar, TH David, JM Sharma, R Shepherd, KH Pandya, B Kumar, Abhinandan Singh, JA Duffy","KK Ahmed, SV Samson, RD Gaikwad, A Mhatre, SN Khan, Kartik Sharma, S Dube, PR Veer, J Overton, A Kamboj, Noor Ahmad, MJ Henry"
06-04-2026,2026,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,25,2,0,0,,no result,0,0,,J Srinath,A Bengeri,J Madanagopal,R Pandit,UV Gandhe,20,"AM Rahane, FH Allen, C Green, A Raghuvanshi, R Powell, RK Singh, Ramandeep Singh, AS Roy, Navdeep Saini, VG Arora, Kartik Tyagi","SS Iyer, P Simran Singh, N Wadhera, C Connolly, Shashank Singh, MP Stoinis, M Jansen, Vijaykumar Vyshak, XC Bartlett, Arshdeep Singh, YS Chahal"
07-04-2026,2026,Guwahati,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,150,3,123,9,Rajasthan Royals,complete,27,0,YBK Jaiswal,V Narayan Kutty,HDPK Dharmasena,M Krishnadas,VK Sharma,K Swaroopanand,20,"Ravi Bishnoi, YBK Jaiswal, V Suryavanshi, Dhruv Jurel, R Parag, SO Hetmyer, RA Jadeja, D Ferreira, JC Archer, N Burger, TU Deshpande, Sandeep Sharma","AM Ghazanfar, RD Rickelton, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, Naman Dhir, SE Rutherford, SN Thakur, DL Chahar, TA Boult, JJ Bumrah"
08-04-2026,2026,Delhi,"Arun Jaitley Stadium, Delhi",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,210,4,209,8,Gujarat Titans,complete,1,0,Rashid Khan,Shakti Singh,Anish Sahasrabudhe,Nitin Menon,MV Saidharshan Kumar,Vinod Seshan,20,"M Shahrukh Khan, B Sai Sudharsan, Shubman Gill, JC Buttler, Washington Sundar, GD Phillips, R Tewatia, Rashid Khan, K Rabada, Mohammed Siraj, Ashok Sharma, M Prasidh Krishna","Mukesh Kumar, P Nissanka, KL Rahul, N Rana, Sameer Rizvi, DA Miller, AR Patel, T Stubbs, V Nigam, Kuldeep Yadav, L Ngidi, T Natarajan"
09-04-2026,2026,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,181,4,182,7,Lucknow Super Giants,complete,0,3,MD Choudhary,Prakash Bhatt,AT Holdstock,A Totre,KN Ananthapadmanabhan,Abhijit Bhattacharya,20,"VG Arora, AM Rahane, FH Allen, A Raghuvanshi, C Green, RK Singh, R Powell, Ramandeep Singh, AS Roy, SP Narine, Navdeep Saini, Kartik Tyagi","M Siddharth, MR Marsh, AK Markram, RR Pant, A Badoni, N Pooran, Abdul Samad, MD Choudhary, Mohammed Shami, Avesh Khan, DS Rathi, Prince Yadav"
10-04-2026,2026,Guwahati,"Barsapara Cricket Stadium, Guwahati",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,201,8,202,4,Rajasthan Royals,complete,0,6,V Suryavanshi,V Narayan Kutty,K Swaroopanand,HDPK Dharmasena,VK Sharma,M Krishnadas,20,"PD Salt, V Kohli, D Padikkal, RM Patidar, KH Pandya, JM Sharma, TH David, R Shepherd, VR Iyer, B Kumar, Abhinandan Singh, JR Hazlewood","Sandeep Sharma, YBK Jaiswal, V Suryavanshi, Dhruv Jurel, SO Hetmyer, R Parag, RA Jadeja, D Ferreira, Ravi Bishnoi, JC Archer, N Burger, Brijesh Sharma"
11-04-2026,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,212,2,189,10,Chennai Super Kings,complete,23,0,SV Samson,Shakti Singh,MV Saidharshan Kumar,Vinod Seshan,Nitin Menon,Anish Sahasrabudhe,20,"AJ Hosein, SV Samson, RD Gaikwad, A Mhatre, S Dube, SN Khan, D Brevis, J Overton, Noor Ahmad, A Kamboj, Gurjapneet Singh, KK Ahmed","Mukesh Kumar, P Nissanka, KL Rahul, Sameer Rizvi, AR Patel, DA Miller, T Stubbs, Ashutosh Sharma, Auqib Nabi, Kuldeep Yadav, L Ngidi, T Natarajan"
11-04-2026,2026,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,219,6,223,4,Punjab Kings,complete,0,6,SS Iyer,J Srinath,A Bengeri,R Pandit,J Madanagopal,UV Gandhe,20,"JD Unadkat, Abhishek Sharma, TM Head, Ishan Kishan, H Klaasen, Aniket Verma, S Arora, Nithish Kumar Reddy, Harsh Dubey, Shivang Kumar, HV Patel, E Malinga","YS Chahal, Priyansh Arya, P Simran Singh, C Connolly, SS Iyer, N Wadhera, Shashank Singh, MP Stoinis, M Jansen, XC Bartlett, Vijaykumar Vyshak, Arshdeep Singh"
12-04-2026,2026,Mumbai,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,240,4,222,6,Royal Challengers Bengaluru,complete,18,0,PD Salt,V Narayan Kutty,K Swaroopanand,VK Sharma,HDPK Dharmasena,M Krishnadas,20,"Rasikh Salam, PD Salt, V Kohli, RM Patidar, TH David, JM Sharma, R Shepherd, D Padikkal, KH Pandya, B Kumar, JA Duffy, Suyash Sharma","M Markande, RD Rickelton, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, SE Rutherford, Naman Dhir, MJ Santner, SN Thakur, JJ Bumrah, TA Boult"
12-04-2026,2026,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,164,8,165,3,Gujarat Titans,complete,0,7,M Prasidh Krishna,Prakash Bhatt,Abhijit Bhattacharya,KN Ananthapadmanabhan,AT Holdstock,A Totre,20,"AK Markram, MR Marsh, RR Pant, A Badoni, N Pooran, Abdul Samad, MD Choudhary, GF Linde, Mohammed Shami, Avesh Khan, DS Rathi, Prince Yadav","Mohammed Siraj, B Sai Sudharsan, Shubman Gill, JC Buttler, Washington Sundar, R Tewatia, GD Phillips, Rashid Khan, K Rabada, Ashok Sharma, M Prasidh Krishna, M Shahrukh Khan"
13-04-2026,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,216,6,159,10,Sunrisers Hyderabad,complete,57,0,PP Hinge,J Srinath,J Madanagopal,R Pandit,A Bengeri,UV Gandhe,20,"Sakib Hussain, Abhishek Sharma, TM Head, Ishan Kishan, H Klaasen, Nithish Kumar Reddy, S Arora, Aniket Verma, Harsh Dubey, Shivang Kumar, PP Hinge, E Malinga","Sandeep Sharma, YBK Jaiswal, V Suryavanshi, Dhruv Jurel, LG Pretorius, R Parag, RA Jadeja, D Ferreira, JC Archer, TU Deshpande, Ravi Bishnoi, N Burger"
14-04-2026,2026,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,192,5,160,7,Chennai Super Kings,complete,32,0,Noor Ahmad,Shakti Singh,Nitin Menon,MV Saidharshan Kumar,Vinod Seshan,Anish Sahasrabudhe,20,"AJ Hosein, SV Samson, RD Gaikwad, A Mhatre, D Brevis, SN Khan, S Dube, J Overton, Noor Ahmad, A Kamboj, Gurjapneet Singh, KK Ahmed","CV Varun, FH Allen, SP Narine, AM Rahane, A Raghuvanshi, RK Singh, C Green, R Powell, Ramandeep Singh, AS Roy, VG Arora, Kartik Tyagi"
15-04-2026,2026,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,146,10,149,5,Royal Challengers Bengaluru,complete,0,5,JR Hazlewood,Prakash Bhatt,AT Holdstock,Bhavesh Patel,KN Ananthapadmanabhan,Abhijit Bhattacharya,20,"MR Marsh, AK Markram, RR Pant, N Pooran, A Badoni, Abdul Samad, MD Choudhary, GF Linde, Mohammed Shami, Avesh Khan, DS Rathi, Prince Yadav","Suyash Sharma, PD Salt, V Kohli, D Padikkal, RM Patidar, JM Sharma, TH David, R Shepherd, KH Pandya, B Kumar, Rasikh Salam, JR Hazlewood"
16-04-2026,2026,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings,Punjab Kings,field,195,6,198,3,Punjab Kings,complete,0,7,Arshdeep Singh,V Narayan Kutty,HDPK Dharmasena,M Krishnadas,VK Sharma,HAS Khalid,20,"AM Ghazanfar, RD Rickelton, Q de Kock, SA Yadav, Naman Dhir, HH Pandya, SE Rutherford, Tilak Varma, Mayank Rawat, SN Thakur, DL Chahar, JJ Bumrah","Priyansh Arya, P Simran Singh, C Connolly, SS Iyer, MP Stoinis, Shashank Singh, M Jansen, XC Bartlett, Vijaykumar Vyshak, Arshdeep Singh, YS Chahal"
17-04-2026,2026,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,180,10,181,5,Gujarat Titans,complete,0,5,Shubman Gill,J Srinath,R Pandit,UV Gandhe,J Madanagopal,K Kelkar,20,"CV Varun, TL Seifert, AM Rahane, A Raghuvanshi, C Green, R Powell, AS Roy, RK Singh, Ramandeep Singh, SP Narine, Kartik Tyagi, VG Arora","M Prasidh Krishna, B Sai Sudharsan, Shubman Gill, JC Buttler, Washington Sundar, GD Phillips, R Tewatia, M Shahrukh Khan, Rashid Khan, Ashok Sharma, K Rabada, Mohammed Siraj"
18-04-2026,2026,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,194,9,184,8,Sunrisers Hyderabad,complete,10,0,E Malinga,Shakti Singh,Anish Sahasrabudhe,Vinod Seshan,AT Holdstock,MV Saidharshan Kumar,20,"Abhishek Sharma, TM Head, Ishan Kishan, H Klaasen, Aniket Verma, Nithish Kumar Reddy, S Arora, LS Livingstone, Shivang Kumar, PP Hinge, Sakib Hussain, E Malinga","Gurjapneet Singh, SV Samson, RD Gaikwad, A Mhatre, MW Short, SN Khan, D Brevis, S Dube, J Overton, A Kamboj, Noor Ahmad, Mukesh Choudhary"
18-04-2026,2026,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,175,8,179,5,Delhi Capitals,complete,0,6,T Stubbs,Prakash Bhatt,Abhijit Bhattacharya,Bhavesh Patel,KN Ananthapadmanabhan,A Totre,20,"PD Salt, V Kohli, D Padikkal, RM Patidar, TH David, JM Sharma, R Shepherd, KH Pandya, Rasikh Salam, B Kumar, Suyash Sharma, JR Hazlewood","Mukesh Kumar, P Nissanka, KL Rahul, KK Nair, Sameer Rizvi, T Stubbs, AR Patel, DA Miller, Auqib Nabi, L Ngidi, Kuldeep Yadav, T Natarajan"
