date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
17-05-2023,2023,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Capitals,Punjab Kings,Punjab Kings,field,213,2,198,8,Delhi Capitals,complete,15,0,RR Rossouw,P Dharmani,KN Ananthapadmanabhan,MV Saidharshan Kumar,RJ Tucker,P Joshi,20,"Mukesh Kumar, DA Warner, PP Shaw, RR Rossouw, PD Salt, AR Patel, Aman Hakim Khan, YV Dhull, Kuldeep Yadav, A Nortje, I Sharma, KK Ahmed","NT Ellis, P Simran Singh, S Dhawan, Atharva Taide, LS Livingstone, JM Sharma, M Shahrukh Khan, SM Curran, Harpreet Brar, RD Chahar, K Rabada, Arshdeep Singh"
18-05-2023,2023,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,186,5,187,2,Royal Challengers Bangalore,complete,0,8,V Kohli,J Srinath,BNJ Oxenford,VK Sharma,HAS Khalid,VM Dhokre,20,"T Natarajan, Abhishek Sharma, RA Tripathi, AK Markram, H Klaasen, HC Brook, GD Phillips, Abdul Samad, B Kumar, Kartik Tyagi, Mayank Dagar, Nithish Kumar Reddy","V Kohli, F du Plessis, GJ Maxwell, MG Bracewell, MK Lomror, Anuj Rawat, Shahbaz Ahmed, HV Patel, WD Parnell, KV Sharma, Mohammed Siraj"
19-05-2023,2023,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,187,5,189,6,Rajasthan Royals,complete,0,4,D Padikkal,P Dharmani,A Nand Kishore,RJ Tucker,Navdeep Singh,P Joshi,20,"NT Ellis, P Simran Singh, S Dhawan, Atharva Taide, LS Livingstone, SM Curran, JM Sharma, M Shahrukh Khan, Harpreet Brar, RD Chahar, K Rabada, Arshdeep Singh","YS Chahal, YBK Jaiswal, JC Buttler, D Padikkal, SV Samson, SO Hetmyer, R Parag, Dhruv Jurel, TA Boult, A Zampa, Navdeep Saini, Sandeep Sharma"
20-05-2023,2023,Delhi,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,223,3,146,9,Chennai Super Kings,complete,77,0,RD Gaikwad,Sanjay Verma,CB Gaffaney,NA Patwardhan,AK Chaudhary,M Krishnadas,20,"M Pathirana, RD Gaikwad, DP Conway, S Dube, MS Dhoni, RA Jadeja, AM Rahane, MM Ali, AT Rayudu, DL Chahar, TU Deshpande, M Theekshana","KK Ahmed, PP Shaw, DA Warner, PD Salt, RR Rossouw, YV Dhull, AR Patel, Aman Hakim Khan, Lalit Yadav, A Nortje, Kuldeep Yadav, C Sakariya"
20-05-2023,2023,Kolkata,"Eden Gardens, Kolkata",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,176,8,175,7,Lucknow Super Giants,complete,1,0,N Pooran,M Nayyar,J Madanagopal,UV Gandhe,YC Barde,Mohamad Rafi,20,"Yash Thakur, KS Sharma, Q de Kock, PN Mankad, MP Stoinis, KH Pandya, A Badoni, N Pooran, K Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan","Harshit Rana, JJ Roy, VR Iyer, N Rana, Rahmanullah Gurbaz, RK Singh, AD Russell, SN Thakur, SP Narine, VG Arora, CV Varun, Suyash Sharma"
21-05-2023,2023,Mumbai,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,200,5,201,2,Mumbai Indians,complete,0,8,C Green,P Dharmani,KN Ananthapadmanabhan,RJ Tucker,R Pandit,P Joshi,20,"Kartik Tyagi, Vivrant Sharma, MA Agarwal, H Klaasen, GD Phillips, AK Markram, HC Brook, Sanvir Singh, Nithish Kumar Reddy, Mayank Dagar, B Kumar, Umran Malik","Ishan Kishan, RG Sharma, C Green, SA Yadav, TH David, N Wadhera, CJ Jordan, PP Chawla, JP Behrendorff, K Kartikeya, Akash Madhwal"
21-05-2023,2023,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,197,5,198,4,Gujarat Titans,complete,0,6,Shubman Gill,J Srinath,Nitin Menon,VK Sharma,Tapan Sharma,VM Dhokre,20,"H Sharma, V Kohli, F du Plessis, GJ Maxwell, MK Lomror, MG Bracewell, KD Karthik, Anuj Rawat, HV Patel, WD Parnell, Vijaykumar Vyshak, Mohammed Siraj","Yash Dayal, WP Saha, Shubman Gill, V Shankar, MD Shanaka, DA Miller, R Tewatia, HH Pandya, Rashid Khan, Noor Ahmad, Mohammed Shami, MM Sharma"
23-05-2023,2023,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,172,7,157,10,Chennai Super Kings,complete,15,0,RD Gaikwad,M Nayyar,AK Chaudhary,CB Gaffaney,BNJ Oxenford,VK Sharma,20,"M Pathirana, RD Gaikwad, DP Conway, S Dube, AM Rahane, AT Rayudu, RA Jadeja, MS Dhoni, MM Ali, DL Chahar, TU Deshpande, M Theekshana","MM Sharma, WP Saha, Shubman Gill, HH Pandya, MD Shanaka, DA Miller, V Shankar, R Tewatia, Rashid Khan, DG Nalkande, Noor Ahmad, Mohammed Shami"
24-05-2023,2023,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,182,8,101,10,Mumbai Indians,complete,81,0,Akash Madhwal,V Narayan Kutty,BNJ Oxenford,VK Sharma,CB Gaffaney,AK Chaudhary,20,"Ishan Kishan, RG Sharma, C Green, SA Yadav, Tilak Varma, TH David, N Wadhera, CJ Jordan, HR Shokeen, PP Chawla, JP Behrendorff, Akash Madhwal","Yash Thakur, KR Mayers, PN Mankad, KH Pandya, MP Stoinis, A Badoni, N Pooran, DJ Hooda, K Gowtham, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan"
26-05-2023,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,233,3,171,10,Gujarat Titans,complete,62,0,Shubman Gill,J Srinath,Nitin Menon,RJ Tucker,J Madanagopal,KN Ananthapadmanabhan,20,"J Little, WP Saha, Shubman Gill, B Sai Sudharsan, HH Pandya, Rashid Khan, DA Miller, R Tewatia, V Shankar, Noor Ahmad, Mohammed Shami, MM Sharma","Ishan Kishan, Akash Madhwal, RG Sharma, N Wadhera, C Green, SA Yadav, Tilak Varma, Vishnu Vinod, TH David, CJ Jordan, PP Chawla, K Kartikeya, JP Behrendorff"
